"Age","Sex","Education","Veg","Fruit","Year","BMI"
66,"Male","Other school level","Yes","Yes","2012",28.6507911738086
38,"Male","Standard grade or equiv","Yes","Yes","2012",26.9098686306478
41,"Female","Degree or higher","No","Yes","2012",25.5649539199596
80,"Female","Other school level","No","Yes","2012",26.5731292517007
31,"Female","Higher grade or equiv","Yes","No","2012",52.2070741388644
68,"Male","Other school level","No","Yes","2012",31.4162913420121
46,"Male","Standard grade or equiv","Yes","Yes","2012",27.6407116971397
46,"Female","Other school level","No","Yes","2012",25.5362217896655
53,"Female","Standard grade or equiv","Yes","Yes","2012",31.4689493758406
39,"Female","Degree or higher","Yes","Yes","2012",30.067199994956
73,"Female","HNC/D or equiv","Yes","Yes","2012",26.9850907373676
60,"Male","Higher grade or equiv","Yes","No","2012",23.0081871622215
63,"Female","Higher grade or equiv","Yes","No","2012",27.2915091962711
29,"Male","HNC/D or equiv","Yes","Yes","2012",20.6462665406427
67,"Male","Degree or higher","Yes","Yes","2012",42.3977024340476
67,"Female","Degree or higher","Yes","Yes","2012",45.8775782312443
67,"Female","No qualifications","Yes","Yes","2012",31.0167797284576
71,"Male","HNC/D or equiv","Yes","No","2012",30.8633334957719
49,"Female","Higher grade or equiv","Yes","Yes","2012",27.5950351171638
52,"Male","Standard grade or equiv","Yes","No","2012",27.9308108915002
66,"Female","No qualifications","Yes","Yes","2012",24.8963513611315
69,"Male","Other school level","Yes","Yes","2012",27.5297619047619
65,"Female","Standard grade or equiv","Yes","No","2012",33.1200260177533
69,"Female","Other school level","Yes","Yes","2012",26.471568532685
69,"Male","HNC/D or equiv","Yes","Yes","2012",27.9310318367723
54,"Male","No qualifications","Yes","Yes","2012",27.2026679562746
49,"Female","Other school level","Yes","Yes","2012",20.351855757312
52,"Male","Degree or higher","Yes","Yes","2012",23.0967088260631
24,"Male","Other school level","Yes","Yes","2012",22.1896701388889
17,"Male","Other school level","Yes","Yes","2012",18.7453768462898
61,"Male","Standard grade or equiv","Yes","Yes","2012",25.6362750460902
57,"Male","Standard grade or equiv","Yes","No","2012",24.9660067365903
58,"Male","Degree or higher","Yes","Yes","2012",27.1240810871018
65,"Male","HNC/D or equiv","No","Yes","2012",27.9604373562444
64,"Female","Degree or higher","No","No","2012",31.4430217208549
41,"Male","Standard grade or equiv","No","No","2012",25.5354442853886
73,"Male","HNC/D or equiv","Yes","No","2012",29.7881850939785
72,"Male","No qualifications","No","Yes","2012",28.2594507942864
55,"Female","Degree or higher","Yes","Yes","2012",23.2699667732421
34,"Male","Standard grade or equiv","Yes","Yes","2012",25.5704911149272
54,"Male","Degree or higher","No","No","2012",26.8316916935013
47,"Female","Degree or higher","Yes","Yes","2012",25.4676826180482
17,"Female","Higher grade or equiv","No","No","2012",20.1336479895169
68,"Female","HNC/D or equiv","Yes","Yes","2012",36.9614613499666
62,"Male","Degree or higher","Yes","No","2012",27.1408283433963
42,"Female","Degree or higher","Yes","Yes","2012",22.3253886257549
42,"Male","Degree or higher","Yes","Yes","2012",27.1952015868892
53,"Male","Degree or higher","Yes","Yes","2012",26.0717633707893
59,"Male","Higher grade or equiv","Yes","Yes","2012",26.7774699907664
54,"Female","Degree or higher","Yes","Yes","2012",33.6421528699426
65,"Female","Higher grade or equiv","No","No","2012",27.2371717523334
40,"Male","Degree or higher","Yes","Yes","2012",23.7917664607262
78,"Male","No qualifications","Yes","Yes","2012",24.7824502743484
32,"Female","Degree or higher","Yes","Yes","2012",31.4458345499876
31,"Male","Degree or higher","Yes","No","2012",26.2808190973522
44,"Female","Degree or higher","Yes","Yes","2012",25.8260016184294
51,"Male","Standard grade or equiv","Yes","No","2012",28.6975022682194
52,"Female","Standard grade or equiv","Yes","Yes","2012",24.7838561773762
43,"Female","Degree or higher","Yes","Yes","2012",31.9657061557081
47,"Male","No qualifications","Yes","Yes","2012",27.2645260449731
58,"Female","No qualifications","Yes","Yes","2012",31.1332503113325
27,"Male","Degree or higher","Yes","No","2012",22.6640242874009
54,"Male","No qualifications","Yes","Yes","2012",25.1853628081277
39,"Female","No qualifications","Yes","Yes","2012",36.6066208810722
64,"Male","Other school level","Yes","Yes","2012",28.4736570247934
60,"Female","Other school level","Yes","Yes","2012",29.0592349346926
47,"Female","Standard grade or equiv","No","No","2012",30.5619330799052
22,"Male","Degree or higher","Yes","Yes","2012",22.1827303987613
21,"Male","Higher grade or equiv","No","No","2012",23.9876077578905
71,"Male","Standard grade or equiv","No","Yes","2012",29.3019356805365
69,"Female","Standard grade or equiv","No","Yes","2012",35.9402955980535
84,"Male","No qualifications","No","Yes","2012",26.4095500459137
61,"Female","Standard grade or equiv","Yes","Yes","2012",25.383707201889
64,"Male","Other school level","Yes","Yes","2012",24.1517986637234
57,"Male","Higher grade or equiv","Yes","Yes","2012",28.5224354249269
20,"Female","Standard grade or equiv","Yes","No","2012",26.2975778546713
43,"Female","Degree or higher","Yes","Yes","2012",18.2150668722435
40,"Female","Higher grade or equiv","Yes","Yes","2012",22.3031406463359
48,"Male","Degree or higher","Yes","Yes","2012",28.2775510204082
49,"Female","Degree or higher","Yes","Yes","2012",34.9348072562358
48,"Male","HNC/D or equiv","Yes","No","2012",32.8086419753086
79,"Female","No qualifications","No","Yes","2012",25.5685914071511
86,"Male","No qualifications","No","Yes","2012",21.670750723992
64,"Male","Degree or higher","Yes","Yes","2012",25.762521019241
51,"Female","Standard grade or equiv","Yes","Yes","2012",24.1638321995465
54,"Male","Degree or higher","Yes","Yes","2012",24.8051261725459
55,"Female","Higher grade or equiv","Yes","Yes","2012",18.9721628727472
51,"Female","Degree or higher","Yes","Yes","2012",22.4528374676903
54,"Male","Degree or higher","Yes","Yes","2012",28.1053173008802
53,"Female","Degree or higher","Yes","Yes","2012",25.8344764517604
57,"Male","Degree or higher","Yes","Yes","2012",25.7434058525943
28,"Male","Degree or higher","No","Yes","2012",22.6019778092148
28,"Female","Degree or higher","No","Yes","2012",23.2053040695016
39,"Male","Degree or higher","Yes","Yes","2012",26.2925345875086
62,"Male","Degree or higher","Yes","Yes","2012",27.4529314508204
62,"Female","Degree or higher","Yes","Yes","2012",24.4182096144046
74,"Male","Other school level","Yes","Yes","2012",32.7402630924255
51,"Female","Other school level","Yes","Yes","2012",27.6143204880719
52,"Male","Degree or higher","No","Yes","2012",25.3662023209483
40,"Female","Degree or higher","Yes","Yes","2012",21.2401321065285
40,"Female","Higher grade or equiv","Yes","Yes","2012",27.9919559198838
81,"Female","Other school level","Yes","Yes","2012",25.1125806320743
67,"Male","Standard grade or equiv","Yes","Yes","2012",32.0943901001611
59,"Female","Higher grade or equiv","Yes","Yes","2012",18.7233827516181
84,"Female","Other school level","No","Yes","2012",31.2041865806112
83,"Male","HNC/D or equiv","No","Yes","2012",22.7871492964077
54,"Female","Standard grade or equiv","Yes","No","2012",31.0983901717492
58,"Female","Degree or higher","Yes","Yes","2012",22.4613103928483
68,"Male","Other school level","Yes","Yes","2012",24.2340244539635
85,"Female","Other school level","Yes","Yes","2012",28.6320017084479
74,"Female","Other school level","No","Yes","2012",32.1068298236272
50,"Female","Degree or higher","Yes","Yes","2012",32.3992819950587
75,"Male","Degree or higher","Yes","Yes","2012",28.5787553823628
31,"Male","Degree or higher","Yes","Yes","2012",29.134725296167
50,"Female","Degree or higher","No","Yes","2012",20.0808048875051
54,"Female","Degree or higher","Yes","Yes","2012",22.118129299297
86,"Female","No qualifications","Yes","Yes","2012",24.572296382426
48,"Female","HNC/D or equiv","No","Yes","2012",21.614843236222
19,"Male","Higher grade or equiv","Yes","No","2012",29.0195443256668
51,"Female","HNC/D or equiv","No","No","2012",31.3911423818778
41,"Male","Degree or higher","No","Yes","2012",31.3524610444788
58,"Male","Higher grade or equiv","Yes","No","2012",31.4689493758406
58,"Female","No qualifications","Yes","Yes","2012",33.1528138216071
69,"Male","No qualifications","Yes","Yes","2012",26.6717166041668
66,"Male","Standard grade or equiv","No","Yes","2012",25.4681607987669
42,"Female","Higher grade or equiv","No","Yes","2012",28.9971757382922
47,"Male","Standard grade or equiv","Yes","Yes","2012",23.8148528255743
41,"Male","Degree or higher","Yes","Yes","2012",25.4618160343128
37,"Male","Higher grade or equiv","Yes","Yes","2012",29.3818525225585
61,"Female","Degree or higher","Yes","No","2012",34.3783853159985
68,"Male","HNC/D or equiv","Yes","Yes","2012",26.9135802469136
70,"Female","Higher grade or equiv","Yes","Yes","2012",22.1158450507149
47,"Male","Standard grade or equiv","Yes","No","2012",24.4120809999188
46,"Female","Degree or higher","Yes","Yes","2012",29.5811148992968
80,"Female","Degree or higher","Yes","Yes","2012",30.264401240372
53,"Male","Degree or higher","Yes","Yes","2012",23.3720338319367
49,"Female","Degree or higher","Yes","No","2012",20.3801379482538
65,"Male","HNC/D or equiv","Yes","Yes","2012",37.4188750676041
47,"Female","Standard grade or equiv","Yes","Yes","2012",36.9077465977215
70,"Male","Other school level","Yes","Yes","2012",32.2769507360526
53,"Female","Standard grade or equiv","Yes","Yes","2012",24.929237858375
42,"Female","Degree or higher","Yes","Yes","2012",27.1114524629605
43,"Male","No qualifications","Yes","Yes","2012",27.4162516976007
41,"Female","HNC/D or equiv","Yes","Yes","2012",28.0557471520114
20,"Female","Standard grade or equiv","Yes","Yes","2012",26.0840764731449
85,"Female","No qualifications","No","Yes","2012",20.2096210696049
49,"Male","Degree or higher","Yes","No","2012",35.4568129121737
50,"Female","Degree or higher","Yes","Yes","2012",26.7737227551907
28,"Female","HNC/D or equiv","No","No","2012",20.2312816663539
61,"Female","Higher grade or equiv","Yes","Yes","2012",26.6837043146141
40,"Female","Degree or higher","Yes","Yes","2012",23.5437581874928
42,"Male","Standard grade or equiv","Yes","Yes","2012",27.9316885164383
46,"Female","Degree or higher","Yes","Yes","2012",28.2946246651862
42,"Male","Degree or higher","Yes","Yes","2012",27.1623794692762
65,"Female","Degree or higher","Yes","Yes","2012",23.2746159688365
65,"Male","Degree or higher","Yes","Yes","2012",24.6205963172987
58,"Female","Degree or higher","Yes","Yes","2012",29.6670653138382
38,"Female","Degree or higher","No","No","2012",23.8092955937467
39,"Female","Degree or higher","Yes","Yes","2012",30.4242600549054
49,"Male","Degree or higher","Yes","No","2012",25.2390612331174
42,"Female","Degree or higher","Yes","Yes","2012",20.9045718543621
31,"Female","Degree or higher","Yes","No","2012",25.5256512664588
27,"Male","Degree or higher","No","No","2012",25.3120112355964
35,"Male","Other school level","Yes","No","2012",24.3036008423511
32,"Female","No qualifications","Yes","No","2012",33.0121663343259
44,"Female","Standard grade or equiv","Yes","Yes","2012",32.8779530062391
42,"Male","Higher grade or equiv","Yes","Yes","2012",30.46879528787
57,"Female","No qualifications","No","No","2012",27.0904822105833
66,"Female","No qualifications","Yes","Yes","2012",27.4348422496571
70,"Female","No qualifications","Yes","Yes","2012",29.8958891562203
46,"Male","HNC/D or equiv","No","Yes","2012",38.9563352125963
35,"Female","Standard grade or equiv","No","Yes","2012",31.2722305581626
66,"Male","No qualifications","Yes","Yes","2012",36.1484168218802
67,"Female","No qualifications","Yes","Yes","2012",38.3203125
24,"Female","Standard grade or equiv","No","Yes","2012",24.7576177285319
57,"Female","HNC/D or equiv","No","No","2012",23.1246703720232
59,"Male","HNC/D or equiv","No","No","2012",27.3970532107457
76,"Female","No qualifications","Yes","No","2012",31.2431750345798
44,"Female","No qualifications","Yes","No","2012",30.0694888867708
57,"Female","Degree or higher","No","Yes","2012",22.8410423806937
76,"Male","No qualifications","Yes","Yes","2012",23.6092589805989
72,"Female","Degree or higher","Yes","Yes","2012",26.1583047912981
72,"Female","Degree or higher","Yes","Yes","2012",22.4943310657596
37,"Male","Degree or higher","Yes","No","2012",23.3489452480158
70,"Female","Standard grade or equiv","No","Yes","2012",27.2343861082512
66,"Male","Standard grade or equiv","Yes","Yes","2012",28.438698932823
70,"Male","No qualifications","Yes","Yes","2012",30.6183115338882
66,"Female","No qualifications","Yes","Yes","2012",38.8434001819548
71,"Male","Degree or higher","Yes","Yes","2012",18.9607180834428
68,"Female","Degree or higher","Yes","Yes","2012",25.6573780946651
59,"Male","Degree or higher","Yes","Yes","2012",32.9816931853304
61,"Female","Degree or higher","Yes","Yes","2012",30.0760317593917
56,"Male","Higher grade or equiv","Yes","Yes","2012",23.8768569038446
44,"Female","Degree or higher","Yes","Yes","2012",26.4361164074424
26,"Male","Higher grade or equiv","Yes","Yes","2012",30.5540166204986
23,"Female","HNC/D or equiv","Yes","Yes","2012",18.7185960743546
47,"Female","Degree or higher","Yes","Yes","2012",29.9871025081542
52,"Male","Degree or higher","No","Yes","2012",28.9084458149189
49,"Female","Standard grade or equiv","No","No","2012",32.1625707745242
48,"Female","Degree or higher","Yes","Yes","2012",24.2744539114815
56,"Male","Degree or higher","Yes","Yes","2012",25.4542908161479
21,"Male","HNC/D or equiv","Yes","Yes","2012",25.3170973815225
20,"Female","HNC/D or equiv","No","Yes","2012",19.3864605105831
66,"Female","No qualifications","Yes","Yes","2012",36.5711269730795
57,"Male","Degree or higher","No","Yes","2012",34.1062736614386
55,"Female","Higher grade or equiv","Yes","Yes","2012",26.9079766350666
79,"Female","Standard grade or equiv","Yes","Yes","2012",25.3563074181123
66,"Male","Degree or higher","Yes","Yes","2012",30.2384859144583
55,"Male","Higher grade or equiv","Yes","Yes","2012",23.3701714032783
55,"Female","Standard grade or equiv","Yes","No","2012",25.7864506286982
58,"Female","Higher grade or equiv","Yes","No","2012",34.3874444431693
61,"Male","Degree or higher","No","No","2012",30.2533777006397
40,"Female","No qualifications","No","Yes","2012",30.8260935832952
18,"Female","Standard grade or equiv","No","Yes","2012",21.3801776948355
25,"Female","Higher grade or equiv","No","No","2012",32.6334403130026
42,"Female","HNC/D or equiv","No","No","2012",33.5594801925039
19,"Female","Standard grade or equiv","No","No","2012",24.1761181273404
62,"Female","Standard grade or equiv","No","Yes","2012",35.2733686067019
54,"Male","No qualifications","Yes","Yes","2012",29.0961891336225
63,"Female","Higher grade or equiv","Yes","Yes","2012",31.9178978661089
22,"Male","Degree or higher","Yes","Yes","2012",20.2572153121604
45,"Male","Degree or higher","Yes","Yes","2012",25.0121487579682
32,"Female","Degree or higher","Yes","Yes","2012",26.7438741839971
69,"Male","No qualifications","Yes","No","2012",35.7271659978054
